;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;46647,465;36805,748;3981,778;11322,466;10361,595;1463,257;1819,139;3258,012;147,919;145,548;575,324;3714,839;42980,527;4943,456;8827,208;4452,897;7785,882;6574,480;2062,394;9365,946;3308,801;2110,426;1589,296;1559,400;12973,271;8700,543;4416,936;7697,291;801,525;726,761;372,747;514,281;3118,318;8484,500;14139,758;5059,260;3097,912;0,000;0,000;0,000;0,000
Router 3;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;47674,775;4604,387;15623,729;13515,242;1714,003;2119,482;3906,554;13,782;22,505;279,034;1957,536;20834,047;1808,498;3924,045;1793,786;2729,973;5045,217;5831,094;1388,148;869,476;1071,461;1183,272;658,460;3296,695;2539,679;5474,195;11228,927;1011,779;946,518;1846,865;319,343;1985,557;3629,436;6274,577;2930,179;5502,136;0,000;0,000;0,000;0,000
Router 5;;;;;;4627,463;15557,254;13468,733;1721,802;2128,838;3894,859;-11,780;3,870;231,363;1911,950;18264,763;1002,301;1874,232;123,390;1568,026;5026,952;5790,414;746,210;491,256;1065,542;1144,715;529,418;2141,959;2189,224;1055,110;3268,352;-45,613;276,963;1396,566;319,875;1994,784;3261,413;6084,856;2812,885;2181,494;0,000;0,000;0,000;0,000
Router 6;;;;;;;-17,296;-35,220;-14,807;-4,399;-28,477;-3,791;-0,873;22,888;108,191;2484,803;7,405;149,120;8,814;45,866;461,142;389,301;17,920;-9,293;72,264;135,196;30,442;177,109;211,306;100,216;173,367;-2,201;49,876;2,273;32,199;55,757;438,406;964,240;599,147;69,472;0,000;0,000;0,000;0,000
Router 7;;;;;;;;20,914;9,583;-26,173;-27,338;2,286;-4,981;11,970;1051,772;5437,181;299,039;60,482;38,534;665,659;2302,355;2762,227;372,786;152,058;128,452;31,002;116,526;1038,201;48,604;455,370;799,823;20,981;158,051;543,343;66,548;277,868;774,476;1962,218;609,636;302,864;0,000;0,000;0,000;0,000
Router 8;;;;;;;;;-13,892;6,203;29,491;-0,622;-7,966;168,217;417,969;3223,419;655,396;1501,350;-48,222;555,612;1078,023;1309,259;195,037;258,980;762,375;895,631;255,746;373,466;99,057;136,175;1351,874;-15,834;25,271;468,221;149,117;160,299;410,165;1569,151;116,056;1238,181;0,000;0,000;0,000;0,000
Router 9;;;;;;;;;;4,122;4,738;-1,259;13,447;1,498;10,838;898,463;11,369;50,039;36,077;119,461;226,910;152,231;53,412;30,766;-1,034;1,189;23,571;58,029;31,697;75,990;121,767;-0,902;7,445;27,129;10,471;58,859;285,727;405,957;52,021;33,260;0,000;0,000;0,000;0,000
Router 10;;;;;;;;;;;-8,098;-1,106;0,288;-1,737;-6,207;792,453;7,946;-15,111;-14,641;-1,327;87,471;86,639;5,858;-6,726;8,350;8,616;11,328;8,076;893,786;82,262;208,320;-0,882;5,841;30,393;3,687;-13,992;333,301;120,635;323,716;120,003;0,000;0,000;0,000;0,000
Router 11;;;;;;;;;;;;-3,445;1,480;4,249;208,346;2618,761;23,788;141,011;27,772;4,768;218,303;257,257;23,287;1,486;122,192;8,438;1,779;59,854;1,255;67,187;240,918;-14,430;2,166;126,213;20,116;1313,593;221,262;409,371;267,582;174,521;0,000;0,000;0,000;0,000
Router 12;;;;;;;;;;;;;-0,370;0,550;6,184;58,905;-3,046;-1,957;4,824;0,745;1,913;16,617;5,551;-4,025;-3,360;2,325;0,399;42,087;2,603;7,039;16,524;0,683;0,874;10,048;0,802;-1,398;26,007;29,321;0,251;7,592;0,000;0,000;0,000;0,000
Router 13;;;;;;;;;;;;;;-1,373;14,289;30,588;-1,175;2,897;6,367;-5,787;35,965;21,420;0,212;-3,461;-0,916;1,561;-0,374;17,946;5,186;-1,813;1,937;-1,190;0,007;12,403;-0,125;-1,922;0,980;4,464;6,643;3,109;0,000;0,000;0,000;0,000
Router 14;;;;;;;;;;;;;;;99,639;234,135;-3,142;12,597;-3,278;-0,967;-2,797;8,620;16,689;12,937;-4,495;-1,812;0,721;17,180;-4,447;19,552;22,248;2,480;19,550;-0,640;-0,450;-1,058;49,733;84,297;10,923;-0,032;0,000;0,000;0,000;0,000
Router 15;;;;;;;;;;;;;;;;3884,840;487,619;296,058;108,470;108,639;25,475;48,989;352,942;102,966;-15,039;-14,872;15,354;238,218;29,652;-18,144;-41,909;71,979;1,419;58,303;10,678;-0,222;-37,434;1,564;-2,857;-27,417;0,000;0,000;0,000;0,000
Router 16;;;;;;;;;;;;;;;;;1542,433;3110,225;8639,047;2868,445;325,820;125,049;3546,142;1429,589;85,578;118,006;234,884;4700,620;2424,159;853,023;1693,946;668,548;194,771;68,791;514,593;3100,905;10201,512;15513,956;5644,397;725,373;0,000;0,000;0,000;0,000
Router 17;;;;;;;;;;;;;;;;;;51,065;-25,382;8,561;153,186;111,857;159,516;24,575;4,877;-2,506;35,176;728,039;152,240;609,776;762,572;-6,301;16,720;18,558;13,998;59,735;87,184;598,253;217,658;131,486;0,000;0,000;0,000;0,000
Router 18;;;;;;;;;;;;;;;;;;;-40,459;25,680;222,937;233,636;31,861;28,312;11,474;80,141;26,660;116,912;473,902;1171,242;1567,580;-8,331;114,242;162,812;40,913;358,198;519,365;1451,512;142,984;375,302;0,000;0,000;0,000;0,000
Router 19;;;;;;;;;;;;;;;;;;;;162,133;259,493;140,743;12,768;49,078;6,883;-4,353;54,105;102,202;1923,940;665,060;1407,755;-17,887;177,691;60,815;11,120;39,906;1822,368;1407,522;760,122;770,682;0,000;0,000;0,000;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;165,675;142,172;204,319;48,570;-20,613;2,667;21,444;440,106;1094,114;291,052;995,418;-13,740;126,187;4,767;9,178;60,650;1214,455;772,187;456,414;691,938;0,000;0,000;0,000;0,000
Router 21;;;;;;;;;;;;;;;;;;;;;;-47,155;334,812;43,874;-17,041;47,566;10,989;121,367;66,472;18,359;-8,284;1,145;-1,280;12,525;10,511;-9,559;39,719;29,685;5,452;-30,055;0,000;0,000;0,000;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;;298,928;101,986;857,807;7,119;12,520;110,064;-7,375;-2,063;29,445;2,524;3,385;12,444;2,466;-11,002;-54,189;-16,676;-20,906;-0,693;0,000;0,000;0,000;0,000
Router 23;;;;;;;;;;;;;;;;;;;;;;;;329,533;14,740;48,177;43,427;1736,608;279,004;229,165;521,435;2,782;91,435;17,505;126,432;328,053;786,712;1217,401;478,550;314,883;0,000;0,000;0,000;0,000
Router 24;;;;;;;;;;;;;;;;;;;;;;;;;12,334;104,478;25,373;109,637;77,488;187,096;345,343;-3,246;-0,323;14,216;0,162;193,601;74,579;837,110;25,726;156,722;0,000;0,000;0,000;0,000
Router 25;;;;;;;;;;;;;;;;;;;;;;;;;;-14,282;-3,031;-26,777;3,592;5,601;0,660;-7,205;-2,474;5,093;-2,071;9,566;-3,656;58,067;13,181;-3,195;0,000;0,000;0,000;0,000
Router 26;;;;;;;;;;;;;;;;;;;;;;;;;;;1,996;10,088;-9,956;26,371;20,849;-5,181;15,352;-6,342;0,631;4,066;44,772;63,469;29,394;0,991;0,000;0,000;0,000;0,000
Router 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;-4,546;469,629;46,183;84,748;51,604;2,554;9,754;1,017;7,574;107,848;9,736;9,340;43,329;0,000;0,000;0,000;0,000
Router 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;851,030;580,601;1016,369;36,963;67,403;34,686;13,902;10,603;1395,080;1833,915;400,711;431,594;0,000;0,000;0,000;0,000
Router 29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;91,600;303,264;29,683;45,630;30,755;-0,051;16,970;166,966;78,510;125,346;168,840;0,000;0,000;0,000;0,000
Router 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5307,208;37,680;12,357;9,728;3,065;-6,957;128,438;-2,597;20,786;6,011;0,000;0,000;0,000;0,000
Router 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;138,447;14,770;-3,525;-1,783;-3,579;217,123;13,880;60,689;5535,318;0,000;0,000;0,000;0,000
Router 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13,779;1,076;-4,194;-3,364;158,422;124,080;69,185;88,509;0,000;0,000;0,000;0,000
Router 33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,978;3,548;2,486;-12,827;15,492;2,110;9,323;0,000;0,000;0,000;0,000
Router 34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1,999;-8,166;3,010;-12,093;-23,316;-9,830;0,000;0,000;0,000;0,000
Router 35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-2,487;-12,041;33,272;7,722;-3,035;0,000;0,000;0,000;0,000
Router 36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-19,453;62,070;-1,908;0,359;0,000;0,000;0,000;0,000
Router 37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38,317;5,982;48,393;0,000;0,000;0,000;0,000
Router 38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-64,368;-22,585;0,000;0,000;0,000;0,000
Router 39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-26,012;0,000;0,000;0,000;0,000
Router 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000;0,000
Router 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000
Router 42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000
Router 43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000
Router 44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;